Infografia,Provincia,Fallecidos,Fecha_reporte,Hora_reporte
27,Orellana,0,2020/03/27 00:00:00,17:00
27,Pastaza,0,2020/03/27 00:00:00,17:00
27,Sucumbíos,1,2020/03/27 00:00:00,17:00
27,Zamora Chinchipe,0,2020/03/27 00:00:00,17:00
27,Galápagos,0,2020/03/27 00:00:00,17:00
28,Azuay,0,2020/03/28 00:00:00,10:00
28,Bolívar,0,2020/03/28 00:00:00,10:00
28,Cañar,0,2020/03/28 00:00:00,10:00
28,Carchi,0,2020/03/28 00:00:00,10:00
28,Chimborazo,0,2020/03/28 00:00:00,10:00
28,Cotopaxi,1,2020/03/28 00:00:00,10:00
28,Imbabura,1,2020/03/28 00:00:00,10:00
28,Loja,0,2020/03/28 00:00:00,10:00
28,Pichincha,4,2020/03/28 00:00:00,10:00
28,Santo Domingo de los Tsáchilas,0,2020/03/28 00:00:00,10:00
28,Tungurahua,0,2020/03/28 00:00:00,10:00
28,El Oro,3,2020/03/28 00:00:00,10:00
28,Esmeraldas,0,2020/03/28 00:00:00,10:00
28,Guayas,30,2020/03/28 00:00:00,10:00
28,Los Ríos,5,2020/03/28 00:00:00,10:00
28,Manabí,1,2020/03/28 00:00:00,10:00
28,Santa Elena,2,2020/03/28 00:00:00,10:00
28,Morona Santiago,0,2020/03/28 00:00:00,10:00
28,Napo,0,2020/03/28 00:00:00,10:00
28,Orellana,0,2020/03/28 00:00:00,10:00
28,Pastaza,0,2020/03/28 00:00:00,10:00
28,Sucumbíos,1,2020/03/28 00:00:00,10:00
28,Zamora Chinchipe,0,2020/03/28 00:00:00,10:00
28,Galápagos,0,2020/03/28 00:00:00,10:00
29,Azuay,0,2020/03/28 00:00:00,17:00
29,Bolívar,0,2020/03/28 00:00:00,17:00
29,Cañar,0,2020/03/28 00:00:00,17:00
29,Carchi,0,2020/03/28 00:00:00,17:00
29,Chimborazo,0,2020/03/28 00:00:00,17:00
29,Cotopaxi,1,2020/03/28 00:00:00,17:00
29,Imbabura,1,2020/03/28 00:00:00,17:00
29,Loja,0,2020/03/28 00:00:00,17:00
29,Pichincha,4,2020/03/28 00:00:00,17:00
29,Santo Domingo de los Tsáchilas,0,2020/03/28 00:00:00,17:00
29,Tungurahua,0,2020/03/28 00:00:00,17:00
29,El Oro,3,2020/03/28 00:00:00,17:00
29,Esmeraldas,0,2020/03/28 00:00:00,17:00
29,Guayas,30,2020/03/28 00:00:00,17:00
29,Los Ríos,5,2020/03/28 00:00:00,17:00
29,Manabí,1,2020/03/28 00:00:00,17:00
29,Santa Elena,2,2020/03/28 00:00:00,17:00
29,Morona Santiago,0,2020/03/28 00:00:00,17:00
29,Napo,0,2020/03/28 00:00:00,17:00
29,Orellana,0,2020/03/28 00:00:00,17:00
29,Pastaza,0,2020/03/28 00:00:00,17:00
29,Sucumbíos,1,2020/03/28 00:00:00,17:00
29,Zamora Chinchipe,0,2020/03/28 00:00:00,17:00
29,Galápagos,0,2020/03/28 00:00:00,17:00
30,Azuay,0,2020/03/29 00:00:00,10:00
30,Bolívar,0,2020/03/29 00:00:00,10:00
